,country,article_name,revision_id,article_quality,population
134,Zimbabwe,Sylvester Nguni,726686195,Stub,14000000.0
135,Zimbabwe,Thamsanqa Mahlangu,726687480,Stub,14000000.0
136,Zimbabwe,Tichaona Mudzingwa,726687648,Stub,14000000.0
137,Zimbabwe,Murisi Zwizwai,726687669,Stub,14000000.0
138,Zimbabwe,Samuel Undenge,726688144,Stub,14000000.0
139,Zimbabwe,Reuben Marumahoko,726688205,Stub,14000000.0
140,Zimbabwe,Simon Khaya-Moyo,730764918,Stub,14000000.0
141,Zimbabwe,"List of candidates in the Zimbabwean parliamentary election, 2013",735498335,B,14000000.0
142,Zimbabwe,Jevan Maseko,736911246,Stub,14000000.0
143,Zimbabwe,Munacho Mutezo,738729779,Stub,14000000.0
144,Zimbabwe,Sesel Zvidzai,738810400,Stub,14000000.0
145,Zimbabwe,Samuel Sipepa Nkomo,738992625,Stub,14000000.0
146,Zimbabwe,Faber Chidarikire,738992871,Start,14000000.0
147,Zimbabwe,Willard Chiwewe,738992910,Stub,14000000.0
148,Zimbabwe,Martin Dinha,738992918,Stub,14000000.0
149,Zimbabwe,Herbert Ushewokunze,739137894,Stub,14000000.0
150,Zimbabwe,Nyasha Chikwinya,742899761,Start,14000000.0
151,Zimbabwe,Naomi Nhiwatiwa,743971092,Start,14000000.0
152,Zimbabwe,Bright Matonga,744753863,Stub,14000000.0
153,Zimbabwe,Thokozani Khuphe,747274193,Start,14000000.0
154,Zimbabwe,Border Gezi,748061603,Start,14000000.0
155,Zimbabwe,Rugare Gumbo,749496266,Start,14000000.0
156,Zimbabwe,George Nyandoro,750224976,Start,14000000.0
157,Zimbabwe,Paul Chimedza,750428952,Stub,14000000.0
158,Zimbabwe,Gorden Moyo,750974704,Stub,14000000.0
159,Zimbabwe,Daniel Shumba,753294248,Start,14000000.0
160,Zimbabwe,Douglas Mombeshora,755110125,Stub,14000000.0
161,Zimbabwe,Munyaradzi Gwisai,755337199,Start,14000000.0
162,Zimbabwe,Olivia Muchena,757616307,Start,14000000.0
163,Zimbabwe,Paurine Mpariwa,757616437,Stub,14000000.0
164,Zimbabwe,Sithembiso Nyoni,757617613,Stub,14000000.0
165,Zimbabwe,Earnest Mudzengi,757796569,Stub,14000000.0
166,Zimbabwe,Gift Banda,758442662,Stub,14000000.0
167,Zimbabwe,Wilson Kumbula,759330558,Stub,14000000.0
168,Zimbabwe,Paurina Mpariwa,760532029,Stub,14000000.0
169,Zimbabwe,Flora Buka,762630896,Stub,14000000.0
170,Zimbabwe,Elliot Manyika,763330074,Start,14000000.0
171,Zimbabwe,Diana Mitchell,764299725,Start,14000000.0
172,Zimbabwe,Maurice Nyagumbo,764826793,Start,14000000.0
173,Zimbabwe,Josiah Zion Gumede,765095810,Start,14000000.0
174,Zimbabwe,Edson Zvobgo,767922311,Start,14000000.0
175,Zimbabwe,Felix Magalela Mafa Sibanda,769519957,C,14000000.0
176,Zimbabwe,Tracy Mutinhiri,769876632,Stub,14000000.0
177,Zimbabwe,Kayisa Ndiweni,771958995,Stub,14000000.0
178,Zimbabwe,Enoch Dumbutshena,774026217,Stub,14000000.0
179,Zimbabwe,Hubert Nyanhongo,774061307,Stub,14000000.0
180,Zimbabwe,James Chikerema,775935799,C,14000000.0
181,Zimbabwe,Victoria Chitepo,776389556,Start,14000000.0
182,Zimbabwe,Joel Gabuza,776840034,Stub,14000000.0
183,Zimbabwe,Trudy Stevenson,776943338,Start,14000000.0
184,Zimbabwe,Joram Gumbo,777424335,Stub,14000000.0
185,Zimbabwe,Joseph Chinotimba,777482252,C,14000000.0
186,Zimbabwe,Nkululeko Sibanda,777623864,Start,14000000.0
187,Zimbabwe,Janet Banana,777849777,Stub,14000000.0
188,Zimbabwe,Lazarus Dokora,780062778,Stub,14000000.0
189,Zimbabwe,Lutho Tapela,782607746,Stub,14000000.0
190,Zimbabwe,Moven Mahachi,783298283,Stub,14000000.0
191,Zimbabwe,Margaret Dongo,783419906,Start,14000000.0
192,Zimbabwe,Sekai Holland,783637102,C,14000000.0
193,Zimbabwe,George Chiweshe,783919896,Start,14000000.0
194,Zimbabwe,Josiah Mushore Chinamano,784396785,Stub,14000000.0
195,Zimbabwe,Michael Bimha,784668448,Stub,14000000.0
196,Zimbabwe,Josiah Tongogara,786913202,C,14000000.0
197,Zimbabwe,Naison Ndlovu,787854175,Stub,14000000.0
198,Zimbabwe,Enos Mdlongwa,787854640,Stub,14000000.0
199,Zimbabwe,Lindiwe Majele Sibanda,788247480,Start,14000000.0
200,Zimbabwe,Ndabaningi Sithole,788291899,C,14000000.0
201,Zimbabwe,Ambrose Mutinhiri,788777043,Stub,14000000.0
202,Zimbabwe,Judith Todd,788792548,Start,14000000.0
203,Zimbabwe,Andrew Langa,789094827,Stub,14000000.0
204,Zimbabwe,Christopher Kuruneri,789427326,Start,14000000.0
205,Zimbabwe,Priscilla Misihairabwi-Mushonga,789545114,Stub,14000000.0
206,Zimbabwe,Swithun Mombeshora,789545179,Stub,14000000.0
207,Zimbabwe,Oppah Muchinguri,789545185,Stub,14000000.0
208,Zimbabwe,Samuel Mumbengegwi,789545206,Start,14000000.0
209,Zimbabwe,Chris Mushohwe,789545212,Stub,14000000.0
210,Zimbabwe,Giles Mutsekwa,789545214,Start,14000000.0
211,Zimbabwe,Francis Nhema,789545220,Stub,14000000.0
212,Zimbabwe,Mike Nyambuya,789545233,Stub,14000000.0
213,Zimbabwe,Solomon Mujuru,789898624,C,14000000.0
214,Zimbabwe,Ronald Penza,789948565,Stub,14000000.0
215,Zimbabwe,Joseph Made,789965571,Start,14000000.0
216,Zimbabwe,Evelyn Masaiti,790034879,Stub,14000000.0
217,Zimbabwe,Jessie Majome,790035057,Start,14000000.0
218,Zimbabwe,Theresa Makoni,790423262,Stub,14000000.0
219,Zimbabwe,List of Presidents of the Senate of Zimbabwe,791068367,Stub,14000000.0
220,Zimbabwe,Blessing Chebundo,791690130,Start,14000000.0
221,Zimbabwe,George Charamba,793738070,Start,14000000.0
222,Zimbabwe,Chenhanho Chimutengwende,793820850,Stub,14000000.0
223,Zimbabwe,Simon Muzenda,794934380,Start,14000000.0
224,Zimbabwe,Witness Mangwende,794934451,Stub,14000000.0
225,Zimbabwe,Nathan Shamuyarira,794934469,C,14000000.0
226,Zimbabwe,Joseph Makamba Busha,795007156,Start,14000000.0
227,Zimbabwe,Walter Chidakwa,795247525,Stub,14000000.0
228,Zimbabwe,Maxwell Zeb Shumba,795637625,Start,14000000.0
229,Zimbabwe,Henry Madzorera,795846349,Stub,14000000.0
230,Zimbabwe,First Lady of Zimbabwe,796477244,Stub,14000000.0
231,Zimbabwe,Charles Shanyurai Majange,796608492,Stub,14000000.0
232,Zimbabwe,Elleck Mashingaidze,796726442,Stub,14000000.0
233,Zimbabwe,Phillip Chiyangwa,797170378,Start,14000000.0
234,Zimbabwe,Chenjerai Hunzvi,797225827,C,14000000.0
235,Zimbabwe,Edward Chindori-Chininga,797414978,Start,14000000.0
236,Zimbabwe,Arthur Mutambara,797932659,C,14000000.0
237,Zimbabwe,Edgar Tekere,798106157,C,14000000.0
238,Zimbabwe,Psychology Maziwisa,798140615,C,14000000.0
239,Zimbabwe,Isaac Matongo,798248963,Stub,14000000.0
240,Zimbabwe,Julia Tukai Zvobgo,798468363,Start,14000000.0
241,Zimbabwe,Jameson Timba,799326094,Stub,14000000.0
242,Zimbabwe,Ben Ncube,799405378,Stub,14000000.0
243,Zimbabwe,Obedingwa Mguni,799406056,Stub,14000000.0
244,Zimbabwe,Denis Norman,799605293,Start,14000000.0
245,Zimbabwe,Japhet Ndabeni Ncube,800407734,Stub,14000000.0
246,Zimbabwe,Nicholas Mabodoko,800407872,Stub,14000000.0
247,Zimbabwe,Fay Chung,800705666,B,14000000.0
248,Zimbabwe,Alfred Makwarimba,801370822,Stub,14000000.0
249,Zimbabwe,Elphas Mukonoweshuro,801488585,Stub,14000000.0
250,Zimbabwe,Elton Mangoma,801497420,Start,14000000.0
251,Zimbabwe,Edna Madzongwe,802259324,Start,14000000.0
252,Zimbabwe,Fidelis Mhashu,803084855,Stub,14000000.0
253,Zimbabwe,Promise Mkwananzi,803579259,Start,14000000.0
254,Zimbabwe,Saviour Kasukuwere,804677245,Start,14000000.0
255,Zimbabwe,Walter Mzembi,804678140,Stub,14000000.0
256,Zimbabwe,Kembo Mohadi,804811059,Start,14000000.0
257,Zimbabwe,Learnmore Jongwe,804844902,Start,14000000.0
258,Zimbabwe,Lovemore Madhuku,804895632,C,14000000.0
259,Zimbabwe,List of Finance Ministers of Zimbabwe,804914333,Stub,14000000.0
260,Zimbabwe,Joice Mujuru,805993308,C,14000000.0
261,Zimbabwe,Ignatious Chombo,806656210,Start,14000000.0
262,Zimbabwe,Robert Mugabe,806814411,FA,14000000.0
263,Zimbabwe,Tichafa Samuel Parirenyatwa,807159774,C,14000000.0
264,Zimbabwe,Guy Georgias,807196681,C,14000000.0
265,Zimbabwe,Grace Mugabe,807337237,GA,14000000.0
266,Zimbabwe,Guy Clutton-Brock,807442408,Start,14000000.0
267,Uganda,Template:Uganda-politician-stub,391862070,Stub,44100000.0
268,Uganda,Template:Uganda-mayor-stub,444767727,Stub,44100000.0
269,Uganda,Yosia Nadiope of Busoga,655390291,Stub,44100000.0
270,Uganda,Patrick Mutono,684295893,Stub,44100000.0
271,Uganda,Stanislaus Okurut,689614169,Stub,44100000.0
272,Uganda,Charles Oboth Ofumbi,693292931,Start,44100000.0
273,Uganda,Pumla Kisosonkole,693388584,Start,44100000.0
274,Uganda,Francis K. Butagira,707473503,Start,44100000.0
275,Uganda,Otema Allimadi,708054598,Stub,44100000.0
